Array Length,Bubble Time, Bubble Swaps, Bubble Compares,Selection Time, Selection Swaps, Selection Compares,Insertion Time, Insertion Swaps, Insertion Compares,QuickSort Time, QuickSort Swaps, QuickSort Compares,Standard Java Array Sort
1,0.018200,0,0,0.002000,0,0,0.001200,0,0,0.001300,0,0,0.285100
2,0.003700,1,2,0.001000,1,1,0.000800,1,1,0.002500,1,4,0.001600
4,0.002800,2,9,0.001100,1,6,0.000900,2,2,0.002900,4,14,0.001400
8,0.003000,5,21,0.002200,5,28,0.001300,5,5,0.004600,7,28,0.002100
16,0.007300,48,165,0.003900,12,120,0.004300,48,48,0.009300,16,62,0.002700
32,0.033900,253,713,0.011900,21,496,0.028900,253,253,0.021600,44,150,0.008600
64,0.108400,956,3717,0.050700,61,2016,0.069600,956,956,0.044900,105,336,0.031400
128,0.366200,4106,13081,0.161700,124,8128,0.393900,4106,4106,0.178500,241,736,0.047700
256,1.635400,16268,61455,0.621500,249,32640,0.660900,16268,16268,0.101400,505,1520,0.068700
512,2.539500,69401,251923,1.426500,501,130816,2.441300,69401,69401,0.103500,1197,3416,0.140900
1024,2.122300,267344,1028115,1.935000,1012,523776,3.185900,267344,267344,0.167600,2625,7296,0.279800
2048,5.181200,1047106,4153363,1.341500,2041,2096128,0.717400,1047106,1047106,0.350000,5585,15264,0.601900
4096,22.334900,4170185,16154775,5.184600,4088,8386560,2.410600,4170185,4170185,0.462100,11963,32116,0.329700
8192,105.882100,16749278,65880213,20.222700,8180,33550336,9.291800,16749278,16749278,0.895500,26274,68930,0.863000
16384,483.382900,67412773,266551410,80.180300,16371,134209536,37.886300,67412773,67412773,1.859700,56342,145450,1.776400
32768,2036.623300,268577628,1067417792,320.327800,32755,536854528,152.511400,268577628,268577628,3.835800,120487,306508,3.783700
65536,8362.294900,1071295519,4259709465,1322.956300,65521,2147450880,613.617300,1071295519,1071295519,8.069500,255585,642240,5.230200
131072,34811.330500,4301372185,17120362949,5461.527700,131056,8589869056,2474.026500,4301372185,4301372185,17.911400,542945,1348032,6.860500
