+-----------+----------------+----------------+
|N          | Implementation |           Java |
|-----------+----------------+----------------|
|1          |       0.001584 |       0.010625 |
|2          |       0.000792 |       0.001500 |
|4          |       0.000791 |       0.001208 |
|8          |       0.000959 |       0.001417 |
|16         |       0.014083 |       0.004375 |
|32         |       0.003416 |       0.005708 |
|64         |       0.005458 |       0.010084 |
|128        |       0.020125 |       0.013791 |
|256        |       0.026250 |       0.034750 |
|512        |       0.016209 |       0.028042 |
|1024       |       0.028042 |       0.053334 |
|2048       |       0.048125 |       0.096334 |
|4096       |       0.092084 |       0.175333 |
|8192       |       0.173250 |       0.335208 |
|16384      |       0.338292 |       0.631042 |
|32768      |       0.682083 |       1.221500 |
|65536      |       0.385167 |       0.966666 |
|131072     |       0.707583 |       1.906167 |
|262144     |       0.806583 |       3.965166 |
|524288     |       1.125583 |       5.047750 |
|1048576    |       2.196166 |       6.745583 |
|2097152    |       4.901875 |      33.416208 |
|4194304    |       8.594584 |      94.187542 |
|8388608    |      15.830125 |     131.466000 |
|16777216   |      31.380875 |     229.761708 |
|33554432   |      64.813000 |     545.959083 |
|67108864   |     126.352167 |     869.012125 |
|134217728  |     260.033833 |    2032.858708 |
|268435456  |     529.442250 |    3695.817417 |
|536870912  |    1254.287167 |   30971.749625 |
+-----------+----------------+----------------+
