Compiled sucessfully.

           |         .add() |                |         .pop() |               
N          | Implementation |           Java | Implementation |           Java
1          |       0.001584 |       0.000000 |       0.000000 |       0.000000
2          |       0.000792 |       0.000000 |       0.000000 |       0.000000
4          |       0.000791 |       0.000000 |       0.000000 |       0.000000
8          |       0.000959 |       0.000000 |       0.000000 |       0.000000
16         |       0.014083 |       0.000000 |       0.000000 |       0.000000
32         |       0.003416 |       0.000000 |       0.000000 |       0.000000
64         |       0.005458 |       0.000000 |       0.000000 |       0.000000
128        |       0.020125 |       0.000000 |       0.000000 |       0.000000
256        |       0.026250 |       0.000000 |       0.000000 |       0.000000
512        |       0.016209 |       0.000000 |       0.000000 |       0.000000
1024       |       0.028042 |       0.000000 |       0.000000 |       0.000000
2048       |       0.048125 |       0.000000 |       0.000000 |       0.000000
4096       |       0.092084 |       0.000000 |       0.000000 |       0.000000
8192       |       0.173250 |       0.000000 |       0.000000 |       0.000000
16384      |       0.338292 |       0.000000 |       0.000000 |       0.000000
32768      |       0.682083 |       0.000000 |       0.000000 |       0.000000
65536      |       0.385167 |       0.000000 |       0.000000 |       0.000000
131072     |       0.707583 |       0.000000 |       0.000000 |       0.000000
262144     |       0.806583 |       0.000000 |       0.000000 |       0.000000
524288     |       1.125583 |       0.000000 |       0.000000 |       0.000000
1048576    |       2.196166 |       0.000000 |       0.000000 |       0.000000
2097152    |       4.901875 |       0.000000 |       0.000000 |       0.000000
4194304    |       8.594584 |       0.000000 |       0.000000 |       0.000000
8388608    |      15.830125 |       0.000000 |       0.000000 |       0.000000
16777216   |      31.380875 |       0.000000 |       0.000000 |       0.000000
33554432   |      64.813000 |       0.000000 |       0.000000 |       0.000000
67108864   |     126.352167 |       0.000000 |       0.000000 |       0.000000
134217728  |     260.033833 |       0.000000 |       0.000000 |       0.000000
268435456  |     529.442250 |       0.000000 |       0.000000 |       0.000000
536870912  |    1254.287167 |       0.000000 |       0.000000 |       0.000000
