Compiled sucessfully.

           |         .add() |                |         .pop() |               
N          | Implementation |           Java | Implementation |           Java
1          |       0.000000 |       0.000000 |       0.001042 |       0.000000
2          |       0.000000 |       0.000000 |       0.001000 |       0.000000
4          |       0.000000 |       0.000000 |       0.001000 |       0.000000
8          |       0.000000 |       0.000000 |       0.001541 |       0.000000
16         |       0.000000 |       0.000000 |       0.003416 |       0.000000
32         |       0.000000 |       0.000000 |       0.010375 |       0.000000
64         |       0.000000 |       0.000000 |       0.037166 |       0.000000
128        |       0.000000 |       0.000000 |       0.144375 |       0.000000
256        |       0.000000 |       0.000000 |       0.085833 |       0.000000
512        |       0.000000 |       0.000000 |       0.336791 |       0.000000
1024       |       0.000000 |       0.000000 |       1.324084 |       0.000000
2048       |       0.000000 |       0.000000 |       2.460916 |       0.000000
4096       |       0.000000 |       0.000000 |       1.832125 |       0.000000
8192       |       0.000000 |       0.000000 |       7.105208 |       0.000000
16384      |       0.000000 |       0.000000 |      27.753333 |       0.000000
32768      |       0.000000 |       0.000000 |     109.985041 |       0.000000
65536      |       0.000000 |       0.000000 |     455.965959 |       0.000000
131072     |       0.000000 |       0.000000 |    1833.514792 |       0.000000
262144     |       0.000000 |       0.000000 |    7360.304667 |       0.000000
524288     |       0.000000 |       0.000000 |   30181.149000 |       0.000000
