ll_pop_left time                   
1 4.375000000056417e-06  
2 7.542000000082538e-06  
4 7.042000000012649e-06  
8 1.112500000011174e-05  
16 1.987500000000253e-05  
32 3.708300000004883e-05  
64 7.145800000007974e-05  
128 0.00014500000000006175 
256 0.0002748330000001964  
512 0.0005649999999999267  
1024 0.0009411249999999871  
2048 0.0017754589999998682  
4096 0.0032528330000001215  
8192 0.004831792000000057   
16384 0.007807958000000115   
32768 0.014401000000000108   
65536 0.02874312500000009    
131072 0.05763416599999993    
262144 0.11573912499999994    
524288 0.23108479199999987    
1048576 0.4623790419999998     
2097152 0.9250995419999999     
4194304 1.8615126249999996     
8388608 3.758979874999998      
16777216 7.449771208000001

l_pop_left time                   
1 1.6660000028423383e-06 
2 9.159999976304789e-07  
4 7.919999980288139e-07  
8 8.340000015039095e-07  
16 1.0830000007899798e-06 
32 1.5830000030803149e-06 
64 2.750000000162345e-06  
128 4.2919999998503044e-06 
256 7.4580000024582205e-06 
512 1.5624999999630518e-05 
1024 3.020900000194615e-05  
2048 7.395900000162214e-05  
4096 0.00012987500000249952 
8192 0.0002537499999988313  
16384 0.0005275830000002202  
32768 0.0010574590000018702  
65536 0.002162208999997972   
131072 0.004529334000000773   
262144 0.008443416999998732   
524288 0.016786332999998876   
1048576 0.03508595899999989    
2097152 0.06989599999999996    
4194304 0.13804208400000206    
8388608 0.2789888749999996     
16777216 0.5511294159999984

d_pop_left time                   
1 2.6250000004779395e-06 
2 1.0840000008727202e-06 
4 7.090000018195042e-07  
8 7.920000015815276e-07  
16 1.0000000010279564e-06 
32 1.415999999920814e-06  
64 2.2500000014247235e-06 
128 3.916000000714348e-06  
256 7.333000002773815e-06  
512 1.562500000318323e-05  
1024 2.958399999997141e-05  
2048 5.96669999985977e-05   
4096 0.00011925000000090336 
8192 0.00024187500000039108 
16384 0.0005135420000002     
32768 0.0010366659999974104  
65536 0.002153583000001902   
131072 0.004405374999997491   
262144 0.008868165999999178   
524288 0.018040207999998614   
1048576 0.03514004200000187    
2097152 0.07203520900000271    
4194304 0.14067991699999993    
8388608 0.29351108300000206    
16777216 0.5719509999999985
