Compiled sucessfully.

           |         .add() |                |         .pop() |               
N          | Implementation |           Java | Implementation |           Java
1          |       0.000000 |       0.010625 |       0.000000 |       0.000000
2          |       0.000000 |       0.001500 |       0.000000 |       0.000000
4          |       0.000000 |       0.001208 |       0.000000 |       0.000000
8          |       0.000000 |       0.001417 |       0.000000 |       0.000000
16         |       0.000000 |       0.004375 |       0.000000 |       0.000000
32         |       0.000000 |       0.005708 |       0.000000 |       0.000000
64         |       0.000000 |       0.010084 |       0.000000 |       0.000000
128        |       0.000000 |       0.013791 |       0.000000 |       0.000000
256        |       0.000000 |       0.034750 |       0.000000 |       0.000000
512        |       0.000000 |       0.028042 |       0.000000 |       0.000000
1024       |       0.000000 |       0.053334 |       0.000000 |       0.000000
2048       |       0.000000 |       0.096334 |       0.000000 |       0.000000
4096       |       0.000000 |       0.175333 |       0.000000 |       0.000000
8192       |       0.000000 |       0.335208 |       0.000000 |       0.000000
16384      |       0.000000 |       0.631042 |       0.000000 |       0.000000
32768      |       0.000000 |       1.221500 |       0.000000 |       0.000000
65536      |       0.000000 |       0.966666 |       0.000000 |       0.000000
131072     |       0.000000 |       1.906167 |       0.000000 |       0.000000
262144     |       0.000000 |       3.965166 |       0.000000 |       0.000000
524288     |       0.000000 |       5.047750 |       0.000000 |       0.000000
1048576    |       0.000000 |       6.745583 |       0.000000 |       0.000000
2097152    |       0.000000 |      33.416208 |       0.000000 |       0.000000
4194304    |       0.000000 |      94.187542 |       0.000000 |       0.000000
8388608    |       0.000000 |     131.466000 |       0.000000 |       0.000000
16777216   |       0.000000 |     229.761708 |       0.000000 |       0.000000
33554432   |       0.000000 |     545.959083 |       0.000000 |       0.000000
67108864   |       0.000000 |     869.012125 |       0.000000 |       0.000000
134217728  |       0.000000 |    2032.858708 |       0.000000 |       0.000000
268435456  |       0.000000 |    3695.817417 |       0.000000 |       0.000000
536870912  |       0.000000 |   30971.749625 |       0.000000 |       0.000000
