Compiled sucessfully.

           |         .add() |                |         .pop() |               
N          | Implementation |           Java | Implementation |           Java
1          |       0.000000 |       0.000000 |       0.001000 |       0.000000
2          |       0.000000 |       0.000000 |       0.002584 |       0.000000
4          |       0.000000 |       0.000000 |       0.001125 |       0.000000
8          |       0.000000 |       0.000000 |       0.001625 |       0.000000
16         |       0.000000 |       0.000000 |       0.002791 |       0.000000
32         |       0.000000 |       0.000000 |       0.005000 |       0.000000
64         |       0.000000 |       0.000000 |       0.010084 |       0.000000
128        |       0.000000 |       0.000000 |       0.020959 |       0.000000
256        |       0.000000 |       0.000000 |       0.048333 |       0.000000
512        |       0.000000 |       0.000000 |       0.124792 |       0.000000
1024       |       0.000000 |       0.000000 |       0.066792 |       0.000000
2048       |       0.000000 |       0.000000 |       0.222916 |       0.000000
4096       |       0.000000 |       0.000000 |       0.858417 |       0.000000
8192       |       0.000000 |       0.000000 |       3.210334 |       0.000000
16384      |       0.000000 |       0.000000 |      12.938417 |       0.000000
32768      |       0.000000 |       0.000000 |      51.750458 |       0.000000
65536      |       0.000000 |       0.000000 |     223.217167 |       0.000000
131072     |       0.000000 |       0.000000 |     916.736834 |       0.000000
262144     |       0.000000 |       0.000000 |    3702.146333 |       0.000000
524288     |       0.000000 |       0.000000 |   14777.816042 |       0.000000
