Compiled sucessfully.

           |         .add() |                |         .pop() |               
N          | Implementation |           Java | Implementation |           Java
1          |       0.001500 |       0.010500 |       0.001583 |       0.003166
2          |       0.000583 |       0.001375 |       0.000958 |       0.001458
4          |       0.000625 |       0.001250 |       0.001041 |       0.001792
8          |       0.000917 |       0.001417 |       0.001625 |       0.002792
16         |       0.001917 |       0.003917 |       0.002750 |       0.004667
32         |       0.003041 |       0.005250 |       0.005375 |       0.009000
64         |       0.005833 |       0.008667 |       0.011375 |       0.017500
128        |       0.010209 |       0.013042 |       0.028334 |       0.039917
256        |       0.025041 |       0.018375 |       0.075083 |       0.098666
512        |       0.014667 |       0.028416 |       0.108666 |       0.244500
1024       |       0.021917 |       0.050541 |       0.157209 |       0.179500
2048       |       0.043375 |       0.098542 |       0.607000 |       0.686334
4096       |       0.089708 |       0.165542 |       2.501625 |       2.599250
8192       |       0.166458 |       0.314334 |       9.541792 |      10.168292
16384      |       0.344625 |       0.609959 |      39.093667 |      40.613292
32768      |       0.672834 |       1.202083 |     172.427125 |     179.546583
65536      |       0.654291 |       1.066625 |     692.874042 |     716.644875
131072     |       0.796042 |       1.397292 |    2768.535291 |    2852.917625
262144     |       1.029375 |       4.346625 |   11057.500000 |   11384.993833
524288     |       1.835042 |       4.447709 |   44355.623333 |   46152.060458
