Compiled sucessfully.

           |         .add() |                |         .pop() |               
N          | Implementation |           Java | Implementation |           Java
1          |       0.001542 |       0.022000 |       0.000833 |       0.001958
2          |       0.000541 |       0.001542 |       0.002625 |       0.001375
4          |       0.000625 |       0.001250 |       0.001000 |       0.001791
8          |       0.000916 |       0.001458 |       0.001500 |       0.002583
16         |       0.014375 |       0.004125 |       0.002625 |       0.004375
32         |       0.003166 |       0.006292 |       0.004917 |       0.008375
64         |       0.006084 |       0.010958 |       0.009875 |       0.015167
128        |       0.010041 |       0.011125 |       0.021375 |       0.031208
256        |       0.010667 |       0.016667 |       0.049375 |       0.094292
512        |       0.011583 |       0.030875 |       0.023250 |       0.030459
1024       |       0.023834 |       0.048250 |       0.069208 |       0.081166
2048       |       0.044625 |       0.100500 |       0.219750 |       0.272250
4096       |       0.087667 |       0.172500 |       0.831708 |       0.964417
8192       |       0.169875 |       0.304875 |       3.223875 |       3.492708
16384      |       0.337541 |       0.608625 |      13.174667 |      13.731708
32768      |       0.685792 |       1.265000 |      51.052709 |      53.871833
65536      |       0.458208 |       1.015583 |     224.287959 |     232.360916
131072     |       0.455708 |       1.340583 |     916.396917 |     950.782791
262144     |       0.678667 |       3.592000 |    3695.916959 |    3803.438625
524288     |       1.189916 |       4.515500 |   14942.338750 |   15338.731208
