Compiled sucessfully.

           |         .add() |                |         .pop() |               
N          | Implementation |           Java | Implementation |           Java
1          |       0.000000 |       0.000000 |       0.000000 |       0.002000
2          |       0.000000 |       0.000000 |       0.000000 |       0.001458
4          |       0.000000 |       0.000000 |       0.000000 |       0.001875
8          |       0.000000 |       0.000000 |       0.000000 |       0.002875
16         |       0.000000 |       0.000000 |       0.000000 |       0.004542
32         |       0.000000 |       0.000000 |       0.000000 |       0.008500
64         |       0.000000 |       0.000000 |       0.000000 |       0.014833
128        |       0.000000 |       0.000000 |       0.000000 |       0.031292
256        |       0.000000 |       0.000000 |       0.000000 |       0.069917
512        |       0.000000 |       0.000000 |       0.000000 |       0.030208
1024       |       0.000000 |       0.000000 |       0.000000 |       0.080666
2048       |       0.000000 |       0.000000 |       0.000000 |       0.256708
4096       |       0.000000 |       0.000000 |       0.000000 |       0.939208
8192       |       0.000000 |       0.000000 |       0.000000 |       3.487750
16384      |       0.000000 |       0.000000 |       0.000000 |      13.357833
32768      |       0.000000 |       0.000000 |       0.000000 |      53.459209
65536      |       0.000000 |       0.000000 |       0.000000 |     231.433166
131072     |       0.000000 |       0.000000 |       0.000000 |     947.831208
262144     |       0.000000 |       0.000000 |       0.000000 |    3801.086000
524288     |       0.000000 |       0.000000 |       0.000000 |   15242.825125
