d_insert_right time                   
1 3.499999998268777e-06  
2 1.16699999708203e-06   
4 9.17000001265933e-07   
8 8.329999978684555e-07  
16 1.0420000009503383e-06 
32 1.415999999920814e-06  
64 2.500000000793534e-06  
128 4.290999999767564e-06  
256 7.625000002065008e-06  
512 1.5749999999314923e-05 
1024 3.29169999986334e-05   
2048 6.595900000050392e-05  
4096 0.00013062499999705324 
8192 0.0002655419999975095  
16384 0.0005258340000011685  
32768 0.0010682079999995153  
65536 0.0021900839999986488  
131072 0.004418707999999327   
262144 0.008872792000001795   
524288 0.017526833999998104   
1048576 0.03554383300000197    
2097152 0.0701512909999984     
4194304 0.14297704199999828    
8388608 0.2877925420000018     
16777216 0.5756053329999986     

d_insert_left time                   
1 5.9169999993002875e-06 
2 9.999999974752427e-07  
4 7.920000015815276e-07  
8 8.329999978684555e-07  
16 9.579999975528608e-07  
32 1.5829999995276012e-06 
64 2.5830000005555576e-06 
128 3.9170000007970884e-06 
256 7.457999998905507e-06  
512 1.5499999999946112e-05 
1024 3.133300000257577e-05  
2048 6.0333000000412085e-05 
4096 0.00011933400000074812 
8192 0.00024208399999992025 
16384 0.0004887919999987389  
32768 0.001045209000000824   
65536 0.002210500000000337   
131072 0.0044604580000005     
262144 0.00883616699999834    
524288 0.017474959000001178   
1048576 0.034793832999998386   
2097152 0.07075587499999969    
4194304 0.14299575000000075    
8388608 0.2844499589999998     
16777216 0.5662224580000021     

d_pop_right time                   
1 2.916999999769132e-06  
2 9.159999994068357e-07  
4 7.910000014987872e-07  
8 8.329999996448123e-07  
16 1.0000000010279564e-06 
32 1.4170000000035543e-06 
64 2.33299999941039e-06   
128 3.999999998782755e-06  
256 7.333999999303842e-06  
512 1.6582999998959735e-05 
1024 3.23749999999734e-05   
2048 6.433299999919484e-05  
4096 0.00012587500000016405 
8192 0.00024854199999957416 
16384 0.0005122090000000412  
32768 0.0010195409999997906  
65536 0.002157040999998472   
131072 0.004449917000000525   
262144 0.008888332999999804   
524288 0.01796295800000003    
1048576 0.03578008300000057    
2097152 0.07137262500000041    
4194304 0.1436334170000002     
8388608 0.2866675000000001     
16777216 0.5709419999999987     

d_pop_left time                   
1 2.6250000004779395e-06 
2 1.0840000008727202e-06 
4 7.090000018195042e-07  
8 7.920000015815276e-07  
16 1.0000000010279564e-06 
32 1.415999999920814e-06  
64 2.2500000014247235e-06 
128 3.916000000714348e-06  
256 7.333000002773815e-06  
512 1.562500000318323e-05  
1024 2.958399999997141e-05  
2048 5.96669999985977e-05   
4096 0.00011925000000090336 
8192 0.00024187500000039108 
16384 0.0005135420000002     
32768 0.0010366659999974104  
65536 0.002153583000001902   
131072 0.004405374999997491   
262144 0.008868165999999178   
524288 0.018040207999998614   
1048576 0.03514004200000187    
2097152 0.07203520900000271    
4194304 0.14067991699999993    
8388608 0.29351108300000206    
16777216 0.5719509999999985
