ll_insert_left time                   
1 4.500000002849447e-06  
2 2.666000000317581e-06  
4 2.666000000317581e-06  
8 4.74999999511283e-06   
16 8.333000003801772e-06  
32 1.6709000000503238e-05 
64 3.224999999673628e-05  
128 6.220799999567816e-05  
256 0.00012395899999972926 
512 0.0002521669999993037  
1024 0.0004966660000036427  
2048 0.0009971249999978227  
4096 0.0020230420000046934  
8192 0.004035874999999578   
16384 0.00841949999999514    
32768 0.016387459000000604   
65536 0.032761499999999444   
131072 0.06568958300000105    
262144 0.1334558329999993     
524288 0.2810772090000029     
1048576 0.5540376249999994     
2097152 1.1173362910000009     
4194304 2.2442963339999977     
8388608 4.495397333            
16777216 8.997420166999994

l_insert_left time                   
1 2.8340000000071086e-06 
2 1.1660000005520033e-06 
4 8.749999977908374e-07  
8 1.0420000009503383e-06 
16 1.4999999997655777e-06 
32 2.2080000015023415e-06 
64 4.374999999612328e-06  
128 1.0290999998829875e-05 
256 2.7708000001069877e-05 
512 8.795799999816722e-05  
1024 0.0003063340000011294  
2048 0.0011580840000000592  
4096 0.0044184579999999585  
8192 0.017413292000000524   
16384 0.06872537499999964    
32768 0.2760294160000001     
65536 1.0952147080000003     
131072 4.286025000000002      
262144 17.301452542000003     
524288 68.377549458           
1048576 277.07470716700004

d_insert_left time                   
1 5.9169999993002875e-06 
2 9.999999974752427e-07  
4 7.920000015815276e-07  
8 8.329999978684555e-07  
16 9.579999975528608e-07  
32 1.5829999995276012e-06 
64 2.5830000005555576e-06 
128 3.9170000007970884e-06 
256 7.457999998905507e-06  
512 1.5499999999946112e-05 
1024 3.133300000257577e-05  
2048 6.0333000000412085e-05 
4096 0.00011933400000074812 
8192 0.00024208399999992025 
16384 0.0004887919999987389  
32768 0.001045209000000824   
65536 0.002210500000000337   
131072 0.0044604580000005     
262144 0.00883616699999834    
524288 0.017474959000001178   
1048576 0.034793832999998386   
2097152 0.07075587499999969    
4194304 0.14299575000000075    
8388608 0.2844499589999998     
16777216 0.5662224580000021     
