l_insert_left time                   
1 2.8340000000071086e-06 
2 1.1660000005520033e-06 
4 8.749999977908374e-07  
8 1.0420000009503383e-06 
16 1.4999999997655777e-06 
32 2.2080000015023415e-06 
64 4.374999999612328e-06  
128 1.0290999998829875e-05 
256 2.7708000001069877e-05 
512 8.795799999816722e-05  
1024 0.0003063340000011294  
2048 0.0011580840000000592  
4096 0.0044184579999999585  
8192 0.017413292000000524   
16384 0.06872537499999964    
32768 0.2760294160000001     
65536 1.0952147080000003     
131072 4.286025000000002      
262144 17.301452542000003     
524288 68.377549458           
1048576 277.07470716700004

ll_pop_right time                   
1 1.208000000030296e-06  
2 3.250000000010189e-06  
4 3.79200000000246e-06   
8 6.750000000055323e-06  
16 1.4458000000105997e-05 
32 3.187500000001453e-05  
64 8.470900000001613e-05  
128 0.00025441600000009057 
256 0.0008726669999999936  
512 0.003372209000000015   
1024 0.013826707999999965   
2048 0.05490104100000004    
4096 0.21778387500000007    
8192 0.8665432920000002     
16384 3.477489042            
32768 14.113680207999998     
