ll_insert_right time                   
1 5.104199999905745e-05  
2 1.6375000001289663e-05 
4 9.958000003251755e-06  
8 1.4249999999549345e-05 
16 2.5707999999013964e-05 
32 4.8833000001025084e-05 
64 9.562500000015461e-05  
128 0.00019379200000102514 
256 0.0003988750000019081  
512 0.0007903330000011977  
1024 0.0014033749999988743  
2048 0.0025015000000010446  
4096 0.004618499999999415   
8192 0.008027874999999796   
16384 0.012948125000001198   
32768 0.021142624999999526   
65536 0.03410970799999902    
131072 0.06615208299999864    
262144 0.13080320799999967    
524288 0.2683173339999989     
1048576 0.5492724160000009     
2097152 1.1037066660000008     
4194304 2.209194291000003      
8388608 4.444705917            
16777216 8.900578916            

l_insert_right time                   
1 2.500000000793534e-06  
2 9.589999976356012e-07  
4 7.920000015815276e-07  
8 9.160000011831926e-07  
16 1.1250000007123617e-06 
32 1.6659999992896246e-06 
64 2.87499999984675e-06   
128 4.791999998587926e-06  
256 9.125000001830585e-06  
512 1.650000000097407e-05  
1024 3.591600000163453e-05  
2048 6.670799999852761e-05  
4096 0.000129624999999578   
8192 0.00025662500000223076 
16384 0.0005179999999995744  
32768 0.0010642920000023537  
65536 0.0021546249999992995  
131072 0.004340708000000859   
262144 0.008401750000000874   
524288 0.016836624999999827   
1048576 0.03465479200000132    
2097152 0.06980629100000257    
4194304 0.13908250000000066    
8388608 0.2803764169999994     
16777216 0.5545087500000001     

d_insert_right time                   
1 3.499999998268777e-06  
2 1.16699999708203e-06   
4 9.17000001265933e-07   
8 8.329999978684555e-07  
16 1.0420000009503383e-06 
32 1.415999999920814e-06  
64 2.500000000793534e-06  
128 4.290999999767564e-06  
256 7.625000002065008e-06  
512 1.5749999999314923e-05 
1024 3.29169999986334e-05   
2048 6.595900000050392e-05  
4096 0.00013062499999705324 
8192 0.0002655419999975095  
16384 0.0005258340000011685  
32768 0.0010682079999995153  
65536 0.0021900839999986488  
131072 0.004418707999999327   
262144 0.008872792000001795   
524288 0.017526833999998104   
1048576 0.03554383300000197    
2097152 0.0701512909999984     
4194304 0.14297704199999828    
8388608 0.2877925420000018     
16777216 0.5756053329999986     
