l_insert_right time                   
1 2.500000000793534e-06  
2 9.589999976356012e-07  
4 7.920000015815276e-07  
8 9.160000011831926e-07  
16 1.1250000007123617e-06 
32 1.6659999992896246e-06 
64 2.87499999984675e-06   
128 4.791999998587926e-06  
256 9.125000001830585e-06  
512 1.650000000097407e-05  
1024 3.591600000163453e-05  
2048 6.670799999852761e-05  
4096 0.000129624999999578   
8192 0.00025662500000223076 
16384 0.0005179999999995744  
32768 0.0010642920000023537  
65536 0.0021546249999992995  
131072 0.004340708000000859   
262144 0.008401750000000874   
524288 0.016836624999999827   
1048576 0.03465479200000132    
2097152 0.06980629100000257    
4194304 0.13908250000000066    
8388608 0.2803764169999994     
16777216 0.5545087500000001     

l_insert_left time                   
1 2.8340000000071086e-06 
2 1.1660000005520033e-06 
4 8.749999977908374e-07  
8 1.0420000009503383e-06 
16 1.4999999997655777e-06 
32 2.2080000015023415e-06 
64 4.374999999612328e-06  
128 1.0290999998829875e-05 
256 2.7708000001069877e-05 
512 8.795799999816722e-05  
1024 0.0003063340000011294  
2048 0.0011580840000000592  
4096 0.0044184579999999585  
8192 0.017413292000000524   
16384 0.06872537499999964    
32768 0.2760294160000001     
65536 1.0952147080000003     
131072 4.286025000000002      
262144 17.301452542000003     
524288 68.377549458           
1048576 277.07470716700004

l_pop_right time                   
1 2.5830000005555576e-06 
2 8.339999979511958e-07  
4 7.920000015815276e-07  
8 7.919999980288139e-07  
16 9.999999974752427e-07  
32 1.4170000000035543e-06 
64 2.708000000239963e-06  
128 4.042000000481494e-06  
256 7.042000000012649e-06  
512 1.612499999836814e-05  
1024 3.0292000001708175e-05 
2048 7.870800000020495e-05  
4096 0.0001162500000013722  
8192 0.00023279199999848288 
16384 0.0004679169999981525  
32768 0.0009444159999993929  
65536 0.0019664579999982834  
131072 0.00425741599999796    
262144 0.008105000000000473   
524288 0.01734862500000034    
1048576 0.03405341700000264    
2097152 0.06847400000000192    
4194304 0.13778458300000196    
8388608 0.27818949999999987    
16777216 0.5579714169999974     

l_pop_left time                   
1 1.6660000028423383e-06 
2 9.159999976304789e-07  
4 7.919999980288139e-07  
8 8.340000015039095e-07  
16 1.0830000007899798e-06 
32 1.5830000030803149e-06 
64 2.750000000162345e-06  
128 4.2919999998503044e-06 
256 7.4580000024582205e-06 
512 1.5624999999630518e-05 
1024 3.020900000194615e-05  
2048 7.395900000162214e-05  
4096 0.00012987500000249952 
8192 0.0002537499999988313  
16384 0.0005275830000002202  
32768 0.0010574590000018702  
65536 0.002162208999997972   
131072 0.004529334000000773   
262144 0.008443416999998732   
524288 0.016786332999998876   
1048576 0.03508595899999989    
2097152 0.06989599999999996    
4194304 0.13804208400000206    
8388608 0.2789888749999996     
16777216 0.5511294159999984
