ll_insert_right time                   
1 5.104199999905745e-05  
2 1.6375000001289663e-05 
4 9.958000003251755e-06  
8 1.4249999999549345e-05 
16 2.5707999999013964e-05 
32 4.8833000001025084e-05 
64 9.562500000015461e-05  
128 0.00019379200000102514 
256 0.0003988750000019081  
512 0.0007903330000011977  
1024 0.0014033749999988743  
2048 0.0025015000000010446  
4096 0.004618499999999415   
8192 0.008027874999999796   
16384 0.012948125000001198   
32768 0.021142624999999526   
65536 0.03410970799999902    
131072 0.06615208299999864    
262144 0.13080320799999967    
524288 0.2683173339999989     
1048576 0.5492724160000009     
2097152 1.1037066660000008     
4194304 2.209194291000003      
8388608 4.444705917            
16777216 8.900578916            

ll_insert_left time                   
1 4.500000002849447e-06  
2 2.666000000317581e-06  
4 2.666000000317581e-06  
8 4.74999999511283e-06   
16 8.333000003801772e-06  
32 1.6709000000503238e-05 
64 3.224999999673628e-05  
128 6.220799999567816e-05  
256 0.00012395899999972926 
512 0.0002521669999993037  
1024 0.0004966660000036427  
2048 0.0009971249999978227  
4096 0.0020230420000046934  
8192 0.004035874999999578   
16384 0.00841949999999514    
32768 0.016387459000000604   
65536 0.032761499999999444   
131072 0.06568958300000105    
262144 0.1334558329999993     
524288 0.2810772090000029     
1048576 0.5540376249999994     
2097152 1.1173362910000009     
4194304 2.2442963339999977     
8388608 4.495397333            
16777216 8.997420166999994

ll_pop_right time                   
1 1.208000000030296e-06  
2 3.250000000010189e-06  
4 3.79200000000246e-06   
8 6.750000000055323e-06  
16 1.4458000000105997e-05 
32 3.187500000001453e-05  
64 8.470900000001613e-05  
128 0.00025441600000009057 
256 0.0008726669999999936  
512 0.003372209000000015   
1024 0.013826707999999965   
2048 0.05490104100000004    
4096 0.21778387500000007    
8192 0.8665432920000002     
16384 3.477489042            
32768 14.113680207999998     

ll_pop_left time                   
1 4.375000000056417e-06  
2 7.542000000082538e-06  
4 7.042000000012649e-06  
8 1.112500000011174e-05  
16 1.987500000000253e-05  
32 3.708300000004883e-05  
64 7.145800000007974e-05  
128 0.00014500000000006175 
256 0.0002748330000001964  
512 0.0005649999999999267  
1024 0.0009411249999999871  
2048 0.0017754589999998682  
4096 0.0032528330000001215  
8192 0.004831792000000057   
16384 0.007807958000000115   
32768 0.014401000000000108   
65536 0.02874312500000009    
131072 0.05763416599999993    
262144 0.11573912499999994    
524288 0.23108479199999987    
1048576 0.4623790419999998     
2097152 0.9250995419999999     
4194304 1.8615126249999996     
8388608 3.758979874999998      
16777216 7.449771208000001
