ll_pop_right time                   
1 1.208000000030296e-06  
2 3.250000000010189e-06  
4 3.79200000000246e-06   
8 6.750000000055323e-06  
16 1.4458000000105997e-05 
32 3.187500000001453e-05  
64 8.470900000001613e-05  
128 0.00025441600000009057 
256 0.0008726669999999936  
512 0.003372209000000015   
1024 0.013826707999999965   
2048 0.05490104100000004    
4096 0.21778387500000007    
8192 0.8665432920000002     
16384 3.477489042            
32768 14.113680207999998     

l_pop_right time                   
1 2.5830000005555576e-06 
2 8.339999979511958e-07  
4 7.920000015815276e-07  
8 7.919999980288139e-07  
16 9.999999974752427e-07  
32 1.4170000000035543e-06 
64 2.708000000239963e-06  
128 4.042000000481494e-06  
256 7.042000000012649e-06  
512 1.612499999836814e-05  
1024 3.0292000001708175e-05 
2048 7.870800000020495e-05  
4096 0.0001162500000013722  
8192 0.00023279199999848288 
16384 0.0004679169999981525  
32768 0.0009444159999993929  
65536 0.0019664579999982834  
131072 0.00425741599999796    
262144 0.008105000000000473   
524288 0.01734862500000034    
1048576 0.03405341700000264    
2097152 0.06847400000000192    
4194304 0.13778458300000196    
8388608 0.27818949999999987    
16777216 0.5579714169999974     

d_pop_right time                   
1 2.916999999769132e-06  
2 9.159999994068357e-07  
4 7.910000014987872e-07  
8 8.329999996448123e-07  
16 1.0000000010279564e-06 
32 1.4170000000035543e-06 
64 2.33299999941039e-06   
128 3.999999998782755e-06  
256 7.333999999303842e-06  
512 1.6582999998959735e-05 
1024 3.23749999999734e-05   
2048 6.433299999919484e-05  
4096 0.00012587500000016405 
8192 0.00024854199999957416 
16384 0.0005122090000000412  
32768 0.0010195409999997906  
65536 0.002157040999998472   
131072 0.004449917000000525   
262144 0.008888332999999804   
524288 0.01796295800000003    
1048576 0.03578008300000057    
2097152 0.07137262500000041    
4194304 0.1436334170000002     
8388608 0.2866675000000001     
16777216 0.5709419999999987     
